"Time","Scenario","variable","perHC","perBBS","permicro","perSCP"
2038,"SSP2_4.5","1",89.5,1.4,8.6,0.5
2038,"SSP2_4.5","1.25",89.5,1.4,8.6,0.5
2038,"SSP2_4.5","1.5",89.5,1.4,8.6,0.5
2038,"SSP2_4.5","1.75",89.5,1.4,8.6,0.5
2038,"SSP2_4.5","2",89.5,1.4,8.6,0.5
2038,"SSP5_8.5","0",88.8,1.5,9.2,0.5
2038,"SSP5_8.5","0.25",88.8,1.5,9.2,0.5
2038,"SSP5_8.5","0.5",88.8,1.5,9.2,0.5
2038,"SSP5_8.5","0.75",88.8,1.5,9.2,0.5
2038,"SSP5_8.5","1",88.8,1.5,9.2,0.5
2038,"SSP5_8.5","1.25",88.6,1.5,9.4,0.5
2038,"SSP5_8.5","1.5",88.8,1.5,9.2,0.5
2038,"SSP5_8.5","1.75",88.8,1.5,9.2,0.5
2038,"SSP5_8.5","2",88.8,1.5,9.2,0.5
2039,"SSP2_4.5","0",89.4,1.4,8.6,0.5
2039,"SSP2_4.5","0.25",89.4,1.4,8.6,0.5
2039,"SSP2_4.5","0.5",89.4,1.4,8.6,0.5
2039,"SSP2_4.5","0.75",89.4,1.4,8.6,0.5
2039,"SSP2_4.5","1",89.4,1.4,8.6,0.5
2039,"SSP2_4.5","1.25",89.4,1.4,8.6,0.5
2039,"SSP2_4.5","1.5",89.4,1.4,8.6,0.5
2039,"SSP2_4.5","1.75",89.4,1.4,8.6,0.5
2039,"SSP2_4.5","2",89.4,1.4,8.6,0.5
2039,"SSP5_8.5","0",88.7,1.5,9.3,0.5
2039,"SSP5_8.5","0.25",88.7,1.5,9.3,0.5
2039,"SSP5_8.5","0.5",88.7,1.5,9.3,0.5
2039,"SSP5_8.5","0.75",88.7,1.5,9.3,0.5
2039,"SSP5_8.5","1",88.7,1.5,9.3,0.5
2039,"SSP5_8.5","1.25",88.5,1.5,9.4,0.5
2039,"SSP5_8.5","1.5",88.7,1.5,9.3,0.5
2039,"SSP5_8.5","1.75",88.7,1.5,9.3,0.5
2039,"SSP5_8.5","2",88.7,1.5,9.3,0.5
2040,"SSP2_4.5","0",89.4,1.5,8.6,0.5
2040,"SSP2_4.5","0.25",89.4,1.5,8.6,0.5
2040,"SSP2_4.5","0.5",89.4,1.5,8.6,0.5
2040,"SSP2_4.5","0.75",89.4,1.5,8.6,0.5
2040,"SSP2_4.5","1",89.4,1.5,8.6,0.5
2040,"SSP2_4.5","1.25",89.4,1.5,8.6,0.5
2040,"SSP2_4.5","1.5",89.4,1.5,8.6,0.5
2040,"SSP2_4.5","1.75",89.4,1.5,8.6,0.5
2040,"SSP2_4.5","2",89.4,1.5,8.6,0.5
2040,"SSP5_8.5","0",88.6,1.5,9.4,0.5
2040,"SSP5_8.5","0.25",88.6,1.5,9.4,0.5
2040,"SSP5_8.5","0.5",88.6,1.5,9.4,0.5
2040,"SSP5_8.5","0.75",88.6,1.5,9.4,0.5
2040,"SSP5_8.5","1",88.6,1.5,9.4,0.5
2040,"SSP5_8.5","1.25",88.4,1.5,9.6,0.5
2040,"SSP5_8.5","1.5",88.6,1.5,9.4,0.5
2040,"SSP5_8.5","1.75",88.6,1.5,9.4,0.5
2040,"SSP5_8.5","2",88.6,1.5,9.4,0.5
2041,"SSP2_4.5","0",89.1,1.5,8.9,0.5
2041,"SSP2_4.5","0.25",89.1,1.5,8.9,0.5
2041,"SSP2_4.5","0.5",89.1,1.5,8.9,0.5
2041,"SSP2_4.5","0.75",89.1,1.5,8.9,0.5
2041,"SSP2_4.5","1",89.1,1.5,8.9,0.5
2041,"SSP2_4.5","1.25",89.1,1.5,8.9,0.5
2041,"SSP2_4.5","1.5",89.1,1.5,8.9,0.5
2041,"SSP2_4.5","1.75",89.1,1.5,8.9,0.5
2041,"SSP2_4.5","2",89.1,1.5,8.9,0.5
2041,"SSP5_8.5","0",88.5,1.5,9.5,0.5
2041,"SSP5_8.5","0.25",88.5,1.5,9.5,0.5
2041,"SSP5_8.5","0.5",88.5,1.5,9.5,0.5
2041,"SSP5_8.5","0.75",88.5,1.5,9.5,0.5
2041,"SSP5_8.5","1",88.5,1.5,9.5,0.5
2041,"SSP5_8.5","1.25",88.3,1.5,9.7,0.5
2041,"SSP5_8.5","1.5",88.5,1.5,9.5,0.5
2041,"SSP5_8.5","1.75",88.5,1.5,9.5,0.5
2041,"SSP5_8.5","2",88.5,1.5,9.5,0.5
2042,"SSP2_4.5","0",89.1,1.5,8.9,0.5
2042,"SSP2_4.5","0.25",89.1,1.5,8.9,0.5
2042,"SSP2_4.5","0.5",89.1,1.5,8.9,0.5
2042,"SSP2_4.5","0.75",89.1,1.5,8.9,0.5
2042,"SSP2_4.5","1",89.1,1.5,8.9,0.5
2042,"SSP2_4.5","1.25",89.1,1.5,8.9,0.5
2042,"SSP2_4.5","1.5",89.1,1.5,8.9,0.5
2042,"SSP2_4.5","1.75",89.1,1.5,8.9,0.5
2042,"SSP2_4.5","2",89.1,1.5,8.9,0.5
2042,"SSP5_8.5","0",88.5,1.5,9.5,0.5
2042,"SSP5_8.5","0.25",88.5,1.5,9.5,0.5
2042,"SSP5_8.5","0.5",88.5,1.5,9.5,0.5
2042,"SSP5_8.5","0.75",88.5,1.5,9.5,0.5
2042,"SSP5_8.5","1",88.5,1.5,9.5,0.5
2042,"SSP5_8.5","1.25",88.3,1.5,9.7,0.5
2042,"SSP5_8.5","1.5",88.5,1.5,9.5,0.5
2042,"SSP5_8.5","1.75",88.5,1.5,9.5,0.5
2042,"SSP5_8.5","2",88.5,1.5,9.5,0.5
2043,"SSP2_4.5","0",89,1.5,9,0.5
2043,"SSP2_4.5","0.25",89,1.5,9,0.5
