"Time","variable","CoralCover","Scenario"
2041,"0.75",31.2448051758153,"SSP2_4.5"
2042,"0.75",31.463518812046,"SSP2_4.5"
2043,"0.75",31.6837634437304,"SSP2_4.5"
2044,"0.75",31.9055497878365,"SSP2_4.5"
2045,"0.75",32.1288886363513,"SSP2_4.5"
2046,"0.75",32.3537908568058,"SSP2_4.5"
2047,"0.75",32.5802673928034,"SSP2_4.5"
2048,"0.75",32.8083292645531,"SSP2_4.5"
2049,"0.75",33.0379875694049,"SSP2_4.5"
2050,"0.75",33.2692534823908,"SSP2_4.5"
2051,"0.75",33.5021382567675,"SSP2_4.5"
2052,"0.75",33.7366532245649,"SSP2_4.5"
2053,"0.75",33.9728097971368,"SSP2_4.5"
2054,"0.75",34.2106194657168,"SSP2_4.5"
2055,"0.75",34.4500938019768,"SSP2_4.5"
2056,"0.75",34.6912444585906,"SSP2_4.5"
2057,"0.75",34.9340831698008,"SSP2_4.5"
2058,"0.75",35.1786217519894,"SSP2_4.5"
2059,"0.75",35.4248721042533,"SSP2_4.5"
2060,"0.75",35.6728462089831,"SSP2_4.5"
2061,"0.75",35.922556132446,"SSP2_4.5"
2062,"0.75",35.3987600839989,"SSP2_4.5"
2063,"0.75",34.9092576025322,"SSP2_4.5"
2064,"0.75",34.4299503265544,"SSP2_4.5"
2065,"0.75",33.9604523128752,"SSP2_4.5"
2066,"0.75",33.4767599941114,"SSP2_4.5"
2067,"0.75",33.0257399788253,"SSP2_4.5"
2068,"0.75",32.5842100753878,"SSP2_4.5"
2069,"0.75",32.1516523640534,"SSP2_4.5"
2070,"0.75",30.3179905858909,"SSP2_4.5"
2071,"0.75",28.6171744108849,"SSP2_4.5"
2072,"0.75",27.0385190709552,"SSP2_4.5"
2073,"0.75",25.5722703723317,"SSP2_4.5"
2074,"0.75",24.2095180441068,"SSP2_4.5"
2075,"0.75",22.9421175941205,"SSP2_4.5"
2076,"0.75",21.7626198036825,"SSP2_4.5"
2077,"0.75",20.6642070837695,"SSP2_4.5"
2078,"0.75",19.6406359967233,"SSP2_4.5"
2079,"0.75",18.68618532017,"SSP2_4.5"
2080,"0.75",17.7956090948304,"SSP2_4.5"
2081,"0.75",16.9640941559245,"SSP2_4.5"
2082,"0.75",16.1872216997424,"SSP2_4.5"
2083,"0.75",15.4609324833279,"SSP2_4.5"
2084,"0.75",14.7814952966782,"SSP2_4.5"
2085,"0.75",14.1454783839487,"SSP2_4.5"
2086,"0.75",13.5497235233244,"SSP2_4.5"
2087,"0.75",12.991322504902,"SSP2_4.5"
2088,"0.75",12.4675957724933,"SSP2_4.5"
2089,"0.75",11.9760730190455,"SSP2_4.5"
2090,"0.75",11.5144755466707,"SSP2_4.5"
2091,"0.75",11.0807002213546,"SSP2_4.5"
2092,"0.75",10.6728048695071,"SSP2_4.5"
2093,"0.75",10.2889949788354,"SSP2_4.5"
2094,"0.75",9.92761157975444,"SSP2_4.5"
2095,"0.75",9.58712019586451,"SSP2_4.5"
2096,"0.75",9.26610076307285,"SSP2_4.5"
2097,"0.75",8.96323842685026,"SSP2_4.5"
2098,"0.75",8.6773151360113,"SSP2_4.5"
2099,"0.75",8.40720195939693,"SSP2_4.5"
2100,"0.75",8.15185205901553,"SSP2_4.5"
2019,"1",26.7996713877008,"SSP2_4.5"
2020,"1",27.0140687588024,"SSP2_4.5"
2021,"1",27.2301813088728,"SSP2_4.5"
2022,"1",27.4480227593438,"SSP2_4.5"
2023,"1",27.8096823893897,"SSP2_4.5"
2024,"1",28.1742352964759,"SSP2_4.5"
2025,"1",28.5417046268189,"SSP2_4.5"
2026,"1",28.9121137118046,"SSP2_4.5"
2027,"1",29.2854860694701,"SSP2_4.5"
2028,"1",29.661845405997,"SSP2_4.5"
2029,"1",30.0412156172161,"SSP2_4.5"
2030,"1",30.423620790125,"SSP2_4.5"
2031,"1",30.8090852044171,"SSP2_4.5"
2032,"1",31.1976333340236,"SSP2_4.5"
2033,"1",31.773060445788,"SSP2_4.5"
2034,"1",32.3530909744464,"SSP2_4.5"
2035,"1",32.9377617473342,"SSP2_4.5"
2036,"1",33.527109886405,"SSP2_4.5"
2037,"1",34.1211728105884,"SSP2_4.5"
2038,"1",34.7199882381653,"SSP2_4.5"
